What is your gender? (Optional),"Would you consider yourself having had a technical background, either in education or work experience? (Optional)",Are you employed in crypto? (Optional),What region are you staking from? (Optional)
Female,Not technical,I do some freelance or contract work in crypto,Not sure / I'm not the operator
Female,Not technical,"No, and I work in an unrelated field",North America
Female,Not technical,"No, and I work in an unrelated field",North America
Female,Not technical,"Yes, crypto is my full-time job",Western Europe / UK
Female,Somewhat technical or just as a hobby,I'm unemployed,North America
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Not sure / I'm not the operator
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
Female,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Female,Strongly technical,I do some freelance or contract work in crypto,Not sure / I'm not the operator
Female,Strongly technical,I'm unemployed,Eastern Europe
Female,Strongly technical,"No, and I work in an unrelated field",North America
Female,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Not technical,I do some freelance or contract work in crypto,North America
Male,Not technical,I'm unemployed,Eastern Europe
Male,Not technical,I'm unemployed,North America
Male,Not technical,I'm unemployed,North America
Male,Not technical,I'm unemployed,North America
Male,Not technical,I'm unemployed,Not sure / I'm not the operator
Male,Not technical,I'm unemployed,Not sure / I'm not the operator
Male,Not technical,I'm unemployed,Southeast Asia
Male,Not technical,I'm unemployed,Southern Europe
Male,Not technical,I'm unemployed,
Male,Not technical,"No, and I work in an unrelated field",East Asia
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",North America
Male,Not technical,"No, and I work in an unrelated field",Northern Europe
Male,Not technical,"No, and I work in an unrelated field",Not sure / I'm not the operator
Male,Not technical,"No, and I work in an unrelated field",Oceania
Male,Not technical,"No, and I work in an unrelated field",South America
Male,Not technical,"No, and I work in an unrelated field",South America
Male,Not technical,"No, and I work in an unrelated field",South America
Male,Not technical,"No, and I work in an unrelated field",Southeast Asia
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",Western Europe / UK
Male,Not technical,"No, and I work in an unrelated field",
Male,Not technical,"No, and I work in an unrelated field",
Male,Not technical,"No, but I work in a related field",East Asia
Male,Not technical,"No, but I work in a related field",Western Europe / UK
Male,Not technical,"Yes, crypto is my full-time job",South America
Male,Not technical,,North America
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,East Asia
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,North America
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,North America
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,North America
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,Southern Europe
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,West Africa
Male,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,Western Europe / UK
Male,Somewhat technical or just as a hobby,I'm unemployed,East Asia
Male,Somewhat technical or just as a hobby,I'm unemployed,Eastern Europe
Male,Somewhat technical or just as a hobby,I'm unemployed,Eastern Europe
Male,Somewhat technical or just as a hobby,I'm unemployed,Eastern Europe
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,I'm unemployed,North America
Male,Somewhat technical or just as a hobby,I'm unemployed,Southeast Asia
Male,Somewhat technical or just as a hobby,I'm unemployed,Southeast Asia
Male,Somewhat technical or just as a hobby,I'm unemployed,Southeast Asia
Male,Somewhat technical or just as a hobby,I'm unemployed,Southern Europe
Male,Somewhat technical or just as a hobby,I'm unemployed,Western Europe / UK
Male,Somewhat technical or just as a hobby,I'm unemployed,Western Europe / UK
Male,Somewhat technical or just as a hobby,I'm unemployed,Western Europe / UK
Male,Somewhat technical or just as a hobby,I'm unemployed,
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Central America / Caribbean
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",East Africa
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Eastern Europe
